maquina,version,variante,p,t,N,k,B,repeticion,tiempo_s
DESKTOP-FUSRFCI,numpy,indices,1,0,100000,300,48,0,6.135347
DESKTOP-FUSRFCI,numpy,indices,1,0,100000,300,48,1,6.263315
DESKTOP-FUSRFCI,numpy,indices,1,0,100000,300,48,2,6.460139
DESKTOP-FUSRFCI,numpy,indices,2,0,100000,300,48,0,5.924017
DESKTOP-FUSRFCI,numpy,indices,2,0,100000,300,48,1,6.055069
DESKTOP-FUSRFCI,numpy,indices,2,0,100000,300,48,2,6.236189
DESKTOP-FUSRFCI,numpy,indices,3,0,100000,300,48,0,4.787081
DESKTOP-FUSRFCI,numpy,indices,3,0,100000,300,48,1,4.921357
DESKTOP-FUSRFCI,numpy,indices,3,0,100000,300,48,2,4.981009
DESKTOP-FUSRFCI,numpy,indices,4,0,100000,300,48,0,4.343105
DESKTOP-FUSRFCI,numpy,indices,4,0,100000,300,48,1,4.607395
DESKTOP-FUSRFCI,numpy,indices,4,0,100000,300,48,2,4.607358
DESKTOP-FUSRFCI,numpy,indices,5,0,100000,300,48,0,4.410745
DESKTOP-FUSRFCI,numpy,indices,5,0,100000,300,48,1,4.421344
DESKTOP-FUSRFCI,numpy,indices,5,0,100000,300,48,2,4.506900
DESKTOP-FUSRFCI,numpy,indices,6,0,100000,300,48,0,4.068531
DESKTOP-FUSRFCI,numpy,indices,6,0,100000,300,48,1,3.831436
DESKTOP-FUSRFCI,numpy,indices,6,0,100000,300,48,2,4.145495
DESKTOP-FUSRFCI,numpy,indices,7,0,100000,300,48,0,4.304506
DESKTOP-FUSRFCI,numpy,indices,7,0,100000,300,48,1,4.208146
DESKTOP-FUSRFCI,numpy,indices,7,0,100000,300,48,2,4.283245
DESKTOP-FUSRFCI,numpy,indices,8,0,100000,300,48,0,4.138992
DESKTOP-FUSRFCI,numpy,indices,8,0,100000,300,48,1,4.067231
DESKTOP-FUSRFCI,numpy,indices,8,0,100000,300,48,2,4.089141
DESKTOP-FUSRFCI,numpy,indices,9,0,100000,300,48,0,3.910665
DESKTOP-FUSRFCI,numpy,indices,9,0,100000,300,48,1,3.802604
DESKTOP-FUSRFCI,numpy,indices,9,0,100000,300,48,2,3.920058
DESKTOP-FUSRFCI,numpy,indices,10,0,100000,300,48,0,3.868162
DESKTOP-FUSRFCI,numpy,indices,10,0,100000,300,48,1,3.771438
DESKTOP-FUSRFCI,numpy,indices,10,0,100000,300,48,2,3.776914
DESKTOP-FUSRFCI,numpy,indices,11,0,100000,300,48,0,3.689834
DESKTOP-FUSRFCI,numpy,indices,11,0,100000,300,48,1,3.842165
DESKTOP-FUSRFCI,numpy,indices,11,0,100000,300,48,2,4.025313
DESKTOP-FUSRFCI,numpy,indices,12,0,100000,300,48,0,3.883261
DESKTOP-FUSRFCI,numpy,indices,12,0,100000,300,48,1,4.072746
DESKTOP-FUSRFCI,numpy,indices,12,0,100000,300,48,2,3.931283
DESKTOP-FUSRFCI,numpy,indices,13,0,100000,300,48,0,3.854046
DESKTOP-FUSRFCI,numpy,indices,13,0,100000,300,48,1,3.881885
DESKTOP-FUSRFCI,numpy,indices,13,0,100000,300,48,2,3.675167
DESKTOP-FUSRFCI,numpy,indices,14,0,100000,300,48,0,3.975337
DESKTOP-FUSRFCI,numpy,indices,14,0,100000,300,48,1,4.512421
DESKTOP-FUSRFCI,numpy,indices,14,0,100000,300,48,2,4.507614
DESKTOP-FUSRFCI,numpy,indices,15,0,100000,300,48,0,4.595193
DESKTOP-FUSRFCI,numpy,indices,15,0,100000,300,48,1,4.162053
DESKTOP-FUSRFCI,numpy,indices,15,0,100000,300,48,2,4.176672
DESKTOP-FUSRFCI,numpy,indices,16,0,100000,300,48,0,4.486940
DESKTOP-FUSRFCI,numpy,indices,16,0,100000,300,48,1,4.427387
DESKTOP-FUSRFCI,numpy,indices,16,0,100000,300,48,2,4.627048
DESKTOP-FUSRFCI,numpy,pesos_densos,1,0,100000,300,48,0,7.806990
DESKTOP-FUSRFCI,numpy,pesos_densos,1,0,100000,300,48,1,7.595966
DESKTOP-FUSRFCI,numpy,pesos_densos,1,0,100000,300,48,2,8.152021
DESKTOP-FUSRFCI,numpy,pesos_densos,2,0,100000,300,48,0,7.680736
DESKTOP-FUSRFCI,numpy,pesos_densos,2,0,100000,300,48,1,7.407005
DESKTOP-FUSRFCI,numpy,pesos_densos,2,0,100000,300,48,2,7.558646
DESKTOP-FUSRFCI,numpy,pesos_densos,3,0,100000,300,48,0,6.415266
DESKTOP-FUSRFCI,numpy,pesos_densos,3,0,100000,300,48,1,6.300901
DESKTOP-FUSRFCI,numpy,pesos_densos,3,0,100000,300,48,2,6.246860
DESKTOP-FUSRFCI,numpy,pesos_densos,4,0,100000,300,48,0,5.573837
DESKTOP-FUSRFCI,numpy,pesos_densos,4,0,100000,300,48,1,5.838588
DESKTOP-FUSRFCI,numpy,pesos_densos,4,0,100000,300,48,2,5.781743
DESKTOP-FUSRFCI,numpy,pesos_densos,5,0,100000,300,48,0,5.512261
DESKTOP-FUSRFCI,numpy,pesos_densos,5,0,100000,300,48,1,5.521555
DESKTOP-FUSRFCI,numpy,pesos_densos,5,0,100000,300,48,2,5.552751
DESKTOP-FUSRFCI,numpy,pesos_densos,6,0,100000,300,48,0,5.374985
DESKTOP-FUSRFCI,numpy,pesos_densos,6,0,100000,300,48,1,5.578733
DESKTOP-FUSRFCI,numpy,pesos_densos,6,0,100000,300,48,2,5.868733
DESKTOP-FUSRFCI,numpy,pesos_densos,7,0,100000,300,48,0,5.528130
DESKTOP-FUSRFCI,numpy,pesos_densos,7,0,100000,300,48,1,5.000545
DESKTOP-FUSRFCI,numpy,pesos_densos,7,0,100000,300,48,2,5.427522
DESKTOP-FUSRFCI,numpy,pesos_densos,8,0,100000,300,48,0,5.276698
DESKTOP-FUSRFCI,numpy,pesos_densos,8,0,100000,300,48,1,5.183637
DESKTOP-FUSRFCI,numpy,pesos_densos,8,0,100000,300,48,2,5.288607
DESKTOP-FUSRFCI,numpy,pesos_densos,9,0,100000,300,48,0,4.848053
DESKTOP-FUSRFCI,numpy,pesos_densos,9,0,100000,300,48,1,4.556491
DESKTOP-FUSRFCI,numpy,pesos_densos,9,0,100000,300,48,2,4.775516
DESKTOP-FUSRFCI,numpy,pesos_densos,10,0,100000,300,48,0,5.059851
DESKTOP-FUSRFCI,numpy,pesos_densos,10,0,100000,300,48,1,5.157121
DESKTOP-FUSRFCI,numpy,pesos_densos,10,0,100000,300,48,2,5.102819
DESKTOP-FUSRFCI,numpy,pesos_densos,11,0,100000,300,48,0,4.697064
DESKTOP-FUSRFCI,numpy,pesos_densos,11,0,100000,300,48,1,4.733072
